rf_size,rf_effective,vis_ang,fix_std,kernel_size_pix,num_filters,cell_type,sigma_pix,sigma_deg,FWHM_pix,FWHM_deg,amplitude,xo,yo
0.74,0.74,3.866184880135131,0.25,223,256,all,7.838223432809036,0.3149286200682202,18.45901618426528,0.7416569002606586,216.2533028677878,112.12726245478092,111.8320117382263
0.74,0.86,3.866184880135131,0.38,223,256,all,9.124005770938416,0.36658951758234704,21.487033590559967,0.8633183139064272,208.07778895767404,111.85656423043532,111.83085095316711
0.74,0.94,3.866184880135131,0.5,223,256,all,9.937633441158694,0.39927991504655463,23.403126753928724,0.9403041999346362,202.32512372880026,112.3104120282678,111.6424066812231
0.74,1.12,3.866184880135131,0.75,223,256,all,11.869622928396165,0.4769044926587745,27.952961996372967,1.1231100802114138,187.14960644202833,112.21559101996047,112.08670291541017
1.11,1.09,2.3445762152517156,0.25,223,256,all,11.54247723892351,0.46376024620674816,27.182533897664868,1.092155379816892,214.96816287567455,112.12213748618404,111.86593064984545
1.11,1.21,2.3445762152517156,0.38,223,256,all,12.809897739538187,0.5146833913207307,30.16730917661243,1.2120793865603208,215.23485563839165,111.90297729017293,111.85779566239341
1.11,1.30,2.3445762152517156,0.5,223,256,all,13.68841743475163,0.5499810576462708,32.23622305884009,1.2952053907569678,213.68641436935812,112.25549896781986,111.59665120662211
1.11,1.51,2.3445762152517156,0.75,223,256,all,15.940834288866998,0.6404799491062633,37.54066475028178,1.50833028014525,205.6570931790743,111.96935755698415,112.27738931474391
1.48,1.47,1.6441655512021094,0.25,223,256,all,15.571871556941401,0.6256555536271099,36.671757516597,1.4734188287918437,212.07218366578545,112.11177875009093,111.88742060639301
1.48,1.58,1.6441655512021094,0.38,223,256,all,16.688770375677297,0.670530952594177,39.30205423472003,1.5791003933592869,215.70196172084252,111.92995910719878,111.87506009442427
1.48,1.66,1.6441655512021094,0.5,223,256,all,17.547847302485163,0.7050474362605645,41.32518039735256,1.6603867123936296,216.1945544225662,112.20407791137005,111.58000579451729
1.48,1.88,1.6441655512021094,0.75,223,256,all,19.840820055497513,0.7971758058012394,46.72513123069664,1.8773490226619185,213.41614017438832,111.74934076116718,112.37204245318385
2.22,2.25,0.9970737470655973,0.25,223,256,all,23.830211076687572,0.9574638379026257,56.12014708559923,2.254827338260683,209.5034310806138,112.08850995314442,111.91234289441054
2.22,2.33,0.9970737470655973,0.38,223,256,all,24.64760184210109,0.9903054311558473,58.04510233814806,2.33216929037202,213.71783427012952,111.93620673435956,111.89905970735887
2.22,2.40,0.9970737470655973,0.5,223,256,all,25.362549784321683,1.0190310181200677,59.728804742077564,2.3998180476727593,215.29312419151506,112.12948394284697,111.57004189306795
2.22,2.59,0.9970737470655973,0.75,223,256,all,27.40799750969661,1.101214185657453,64.54583413533551,2.5933594072233017,217.8512423485973,111.47886702242047,112.45830989349841
